id,name,short_name,category,business_summary,tier,official_page,download_url,grain,unit_of_observation,phi_classification,reid_risk,omop_status,curation_level,use_cases,vocabularies,last_validated
orange-purple-book,FDA Orange Book / Purple Book,Orange/Purple Book,drug-pharma,"FDA approval, therapeutic equivalence, biologic, patent, and exclusivity information that helps market access, formulary, and product lifecycle teams.",open,https://www.fda.gov/drugs/drug-approvals-and-databases/approved-drug-products-therapeutic-equivalence-evaluations-orange-book,https://www.fda.gov/drugs/drug-approvals-and-databases/approved-drug-products-therapeutic-equivalence-evaluations-orange-book,"drug product, label, adverse-event report, compound, target, or safety concept",drug/safety record,none-public-regulatory-or-knowledgebase,low,drug-vocabulary-or-knowledge-enrichment,seed,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,NDA/ANDA/BLA;TE codes;patent/exclusivity,2026-05-17
sider,SIDER Side Effect Resource,SIDER,drug-pharma,"A side-effect knowledge resource that helps teams prototype drug safety knowledge graphs, adverse event matching, and medication risk features.",open,http://sideeffects.embl.de/,http://sideeffects.embl.de/,"drug product, label, adverse-event report, compound, target, or safety concept",drug/safety record,none-public-regulatory-or-knowledgebase,low,drug-vocabulary-or-knowledge-enrichment,seed,adverse-drug-events;pharmacovigilance;drug-knowledge-graph,drug identifiers;side-effect terms,2026-05-17
clinvar-omim-gnomad,ClinVar / OMIM / gnomAD,ClinVar-OMIM-gnomAD,genomics,"Variant, disease, and population frequency resources that help genetics teams interpret variants, connect genes to phenotypes, and assess population context.",mixed,https://www.ncbi.nlm.nih.gov/clinvar/,https://www.ncbi.nlm.nih.gov/clinvar/,"variant, gene, phenotype, association, or ontology concept",genomic or phenotype knowledge record,none-public-aggregate-or-controlled-if-individual-level,medium for genomic merges,custom-genomics-extension,seed,variant-interpretation;rare-disease-phenotyping;polygenic-risk,ClinVar Variation ID;HGVS;rsID;OMIM;gnomAD frequency,2026-05-17
gwas-catalog,NHGRI-EBI GWAS Catalog,GWAS Catalog,genomics,"Curated genome-wide association results that help teams find trait-linked variants, build genetic evidence features, and explore polygenic risk signals.",open,https://www.ebi.ac.uk/gwas/downloads,https://www.ebi.ac.uk/gwas/downloads,"variant, gene, phenotype, association, or ontology concept",genomic or phenotype knowledge record,none-public-aggregate-or-controlled-if-individual-level,medium for genomic merges,custom-genomics-extension,seed,variant-interpretation;rare-disease-phenotyping;polygenic-risk,rsID;EFO trait;study accession,2026-05-17
human-phenotype-ontology,Human Phenotype Ontology,HPO,genomics,"A standard vocabulary for clinical features that helps rare disease, genomics, and AI teams describe phenotypes consistently.",open,https://hpo.jax.org/app/download/ontology,https://hpo.jax.org/app/download/ontology,"variant, gene, phenotype, association, or ontology concept",genomic or phenotype knowledge record,none-public-aggregate-or-controlled-if-individual-level,medium for genomic merges,custom-genomics-extension,seed,variant-interpretation;rare-disease-phenotyping;polygenic-risk,HPO ID;disease annotations,2026-05-17
hcup-kid,HCUP Kids’ Inpatient Database,HCUP KID,hcup,"A national pediatric inpatient sample that helps hospitals, researchers, and planners estimate children's hospital use, outcomes, charges, and service-line needs.",purchase,https://hcup-us.ahrq.gov/kidoverview.jsp,https://hcup-us.ahrq.gov/kidoverview.jsp,weighted hospital discharge or encounter record,hospital utilization encounter,deidentified-governed,medium,custom-encounter-etl,seed,utilization-modeling;burden-estimation;readmission-prediction,ICD-9-CM;ICD-10-CM/PCS;HCUP weights,2026-05-17
hcup-neds,HCUP Nationwide Emergency Department Sample,HCUP NEDS,hcup,"A national emergency department sample that helps teams understand ED demand, treat-and-release visits, admissions from the ED, charges, and utilization patterns.",purchase,https://hcup-us.ahrq.gov/nedsoverview.jsp,https://hcup-us.ahrq.gov/nedsoverview.jsp,weighted hospital discharge or encounter record,hospital utilization encounter,deidentified-governed,medium,custom-encounter-etl,seed,utilization-modeling;burden-estimation;readmission-prediction,ICD-9-CM;ICD-10-CM/PCS;HCUP weights,2026-05-17
hcup-nis,HCUP National Inpatient Sample,HCUP NIS,hcup,"A national inpatient hospital discharge sample that helps estimate U.S. hospitalization volume, outcomes, charges, diagnoses, procedures, and burden of disease.",purchase,https://hcup-us.ahrq.gov/nisoverview.jsp,https://hcup-us.ahrq.gov/nisoverview.jsp,discharge-level inpatient record with survey design variables and weights,hospital discharge,deidentified-governed,medium,custom-discharge-etl,reference,utilization-modeling;burden-estimation;readmission-prediction,ICD-9-CM;ICD-10-CM/PCS;HCUP weights,2026-05-17
hcup-sid-sasd,HCUP State Inpatient Databases / State Ambulatory Surgery and Services Databases,HCUP SID/SASD,hcup,"State inpatient and ambulatory surgery encounter data that helps analysts study local utilization, outcomes, access, and market patterns when state-level detail matters.",purchase,https://hcup-us.ahrq.gov/db/state/siddbdocumentation.jsp,https://hcup-us.ahrq.gov/db/state/siddbdocumentation.jsp,weighted hospital discharge or encounter record,hospital utilization encounter,deidentified-governed,medium,custom-encounter-etl,seed,utilization-modeling;burden-estimation;readmission-prediction,ICD-9-CM;ICD-10-CM/PCS;state identifiers,2026-05-17
adni,Alzheimer’s Disease Neuroimaging Initiative,ADNI,imaging,"Longitudinal Alzheimer's imaging, biomarker, clinical, and genetics data that helps teams study disease progression and multimodal prediction.",registration,https://adni.loni.usc.edu/data-samples/,https://adni.loni.usc.edu/data-samples/,"image, study, series, DICOM object, report, participant, or collection",medical imaging observation,deidentified-or-governed,medium,custom-imaging-extension,seed,medical-imaging;multimodal-modeling;clinical-benchmarking,RID;visit;imaging/biomarker/genetic IDs,2026-05-17
chexpert,CheXpert,CheXpert,imaging,"A large chest radiograph dataset with labels that helps teams benchmark medical imaging classification, uncertainty handling, and radiology AI workflows.",registration,https://aimi.stanford.edu/datasets/chexpert-chest-x-rays,https://aimi.stanford.edu/datasets/chexpert-chest-x-rays,"image, study, series, DICOM object, report, participant, or collection",medical imaging observation,deidentified-or-governed,medium,custom-imaging-extension,seed,medical-imaging;multimodal-modeling;clinical-benchmarking,patient/study/image IDs;uncertainty labels,2026-05-17
isic-archive,ISIC Dermoscopy Archive,ISIC,imaging,"A public skin image archive that helps dermatology and AI teams build, test, and compare skin lesion classification models.",open,https://www.isic-archive.com/,https://www.isic-archive.com/,"image, study, series, DICOM object, report, participant, or collection",medical imaging observation,deidentified-or-governed,medium,custom-imaging-extension,seed,medical-imaging;multimodal-modeling;clinical-benchmarking,image IDs;diagnosis labels,2026-05-17
nih-chestxray14,NIH ChestX-ray14,ChestX-ray14,imaging,A public chest X-ray benchmark that helps teams prototype computer vision models for thoracic disease detection and transfer learning.,open,https://nihcc.app.box.com/v/ChestXray-NIHCC,https://nihcc.app.box.com/v/ChestXray-NIHCC,"image, study, series, DICOM object, report, participant, or collection",medical imaging observation,deidentified-or-governed,medium,custom-imaging-extension,seed,medical-imaging;multimodal-modeling;clinical-benchmarking,patient/image IDs;report-derived labels,2026-05-17
tcia,The Cancer Imaging Archive,TCIA,imaging,"Cancer imaging collections that help oncology, radiology, and AI teams study imaging biomarkers, segmentation, treatment response, and multimodal research.",open,https://www.cancerimagingarchive.net/collections/,https://www.cancerimagingarchive.net/collections/,"image, study, series, DICOM object, report, participant, or collection",medical imaging observation,deidentified-or-governed,medium,custom-imaging-extension,seed,medical-imaging;multimodal-modeling;clinical-benchmarking,DICOM identifiers;collection metadata,2026-05-17
eurostat-health,Eurostat Health Data,Eurostat Health,international,"European health indicator data that helps policy, market, and public health teams compare countries and regions across health status, care, and systems.",open,https://ec.europa.eu/eurostat/web/health/database,https://ec.europa.eu/eurostat/web/health/database,"country, region, indicator, survey respondent, household, or modeled estimate",global health analytic record,none-aggregate-or-deidentified-survey,low,not-primary-omop-source,seed,global-health-benchmarking;policy-modeling;health-system-resilience,country/region;indicator;year,2026-05-17
ihme-gbd-dhs,IHME Global Burden of Disease + DHS Program,GBD + DHS,international,"Global disease burden estimates and demographic health surveys that help teams compare risks, outcomes, coverage, and population health across countries.",mixed,https://www.healthdata.org/research-analysis/gbd,https://www.healthdata.org/research-analysis/gbd,"country, region, indicator, survey respondent, household, or modeled estimate",global health analytic record,none-aggregate-or-deidentified-survey,low,not-primary-omop-source,seed,global-health-benchmarking;policy-modeling;health-system-resilience,country/age/sex/cause/risk;DHS household/respondent IDs,2026-05-17
oecd-health-statistics,OECD Health Statistics,OECD Health Statistics,international,"Comparable health system, spending, workforce, and outcome indicators that help strategy and policy teams benchmark OECD and partner countries.",open,https://www.oecd.org/en/data/datasets/oecd-health-statistics.html,https://www.oecd.org/en/data/datasets/oecd-health-statistics.html,"country, region, indicator, survey respondent, household, or modeled estimate",global health analytic record,none-aggregate-or-deidentified-survey,low,not-primary-omop-source,seed,global-health-benchmarking;policy-modeling;health-system-resilience,country;indicator;year,2026-05-17
who-global-health-observatory,WHO Global Health Observatory,WHO GHO,international,"WHO country-level health indicators that help teams monitor global disease burden, risk factors, system capacity, and public health progress.",open,https://www.who.int/data/gho,https://www.who.int/data/gho,"country, region, indicator, survey respondent, household, or modeled estimate",global health analytic record,none-aggregate-or-deidentified-survey,low,not-primary-omop-source,seed,global-health-benchmarking;policy-modeling;health-system-resilience,country;indicator;year,2026-05-17
tmsis-analytic-files,T-MSIS Analytic Files,TAF / T-MSIS,medicaid,"National Medicaid and CHIP eligibility, encounter, and claims-style files that help study access, cost, utilization, equity, and state program performance.",dua,https://www.medicaid.gov/medicaid/data-systems/macbis/transformed-medicaid-statistical-information-system-t-msis/index.html,https://www.medicaid.gov/medicaid/data-systems/macbis/transformed-medicaid-statistical-information-system-t-msis/index.html,"beneficiary eligibility, enrollment, claim, encounter, and service-line files","Medicaid beneficiary, enrollment month, claim, or encounter",restricted,high,custom-claims-etl,reference,health-equity-analysis;cost-prediction;utilization-modeling,ICD-10-CM;HCPCS;CPT;NDC;NPI;state Medicaid identifiers,2026-05-17
cms-doctors-clinicians,CMS Doctors & Clinicians / Physician Compare,Doctors & Clinicians,provider,"CMS clinician and group practice quality data that helps provider organizations, payers, and consumers compare clinicians, specialties, performance, and network options.",open,https://data.cms.gov/provider-data/topics/doctors-clinicians,https://data.cms.gov/provider-data/topics/doctors-clinicians,"provider, facility, taxonomy, or provider-pair edge",provider reference record,none-provider-public,none-for-patient-reid,provider-dimension-enrichment,seed,provider-benchmarking;network-analysis;provider-mastering,NPI;CCN;measure IDs,2026-05-17
cms-provider-data-catalog,CMS Provider Data Catalog,Provider Data Catalog,provider,"The CMS provider data hub that helps teams find official facility, clinician, quality, and reporting datasets for provider benchmarking and market analysis.",open,https://data.cms.gov/provider-data/,https://data.cms.gov/provider-data/,"provider, facility, taxonomy, or provider-pair edge",provider reference record,none-provider-public,none-for-patient-reid,provider-dimension-enrichment,seed,provider-benchmarking;network-analysis;provider-mastering,,2026-05-17
docgraph-referral-graph,DocGraph / Medicare Provider Referral Graph,DocGraph,provider,"Provider relationship and referral-pattern data that helps network, sales, and population health teams understand clinical communities and patient flow proxies.",open,https://careset.com/docgraph-open-social-doctor-data/,https://careset.com/docgraph-open-social-doctor-data/,"provider, facility, taxonomy, or provider-pair edge",provider reference record,none-provider-public,none-for-patient-reid,provider-dimension-enrichment,seed,provider-benchmarking;network-analysis;provider-mastering,NPI;provider graph edges,2026-05-17
npdb-public-use-file,National Practitioner Data Bank Public Use File,NPDB PUF,provider,"Public malpractice and adverse action summaries that help credentialing, risk, workforce, and policy teams study provider safety and professional accountability trends.",open,https://www.npdb.hrsa.gov/resources/publicData.jsp,https://www.npdb.hrsa.gov/resources/publicData.jsp,"provider, facility, taxonomy, or provider-pair edge",provider reference record,none-provider-public,none-for-patient-reid,provider-dimension-enrichment,seed,provider-benchmarking;network-analysis;provider-mastering,,2026-05-17
nppes-npi-registry,NPPES NPI Registry,NPPES,provider,"The national NPI registry for clinicians and organizations, useful as core provider master data for directories, claims, networks, and enrichment.",open,https://download.cms.gov/nppes/NPI_Files.html,https://download.cms.gov/nppes/NPI_Files.html,"one record per NPI plus taxonomy, address, endpoint, and status fields",provider or organization NPI,none-provider-public,none-for-patient-reid,provider-dimension-enrichment,reference,provider-benchmarking;network-analysis;provider-mastering,NPI;NUCC taxonomy,2026-05-17
nucc-provider-taxonomy,NUCC Provider Taxonomy Code Set,NUCC Taxonomy,provider,"Provider specialty and taxonomy codes that help teams classify clinicians and organizations consistently across directories, claims, credentialing, and network analytics.",open,https://taxonomy.nucc.org/,https://taxonomy.nucc.org/,"provider, facility, taxonomy, or provider-pair edge",provider reference record,none-provider-public,none-for-patient-reid,provider-dimension-enrichment,seed,provider-benchmarking;network-analysis;provider-mastering,NUCC taxonomy,2026-05-17
ahrq-sdoh-database,AHRQ Social Determinants of Health Database,AHRQ SDOH,sdoh,"A compiled set of county and ZIP-level social determinants that helps teams add community context to risk, access, equity, and outcomes analytics.",open,https://www.ahrq.gov/sdoh/data-analytics/sdoh-data.html,https://www.ahrq.gov/sdoh/data-analytics/sdoh-data.html,county- and ZIP-level SDOH variables by year/vintage,geography-year indicator,none-aggregate-geography,none,geospatial-context-enrichment,reference,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,FIPS;county;ZIP,2026-05-17
area-deprivation-index,Area Deprivation Index / Neighborhood Atlas,ADI,sdoh,"A neighborhood disadvantage score that helps health systems, payers, and researchers account for socioeconomic context in risk adjustment and equity programs.",registration,https://www.neighborhoodatlas.medicine.wisc.edu/,https://www.neighborhoodatlas.medicine.wisc.edu/,census block-group or ZIP/neighborhood deprivation score depending product,geography-level deprivation score,none-aggregate-geography,none,geospatial-context-enrichment,reference,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,GEOID;block group;ADI,2026-05-17
bls-laus,BLS Local Area Unemployment Statistics,LAUS,sdoh,"Local unemployment and labor force measures that help teams connect economic conditions to health access, coverage, demand, and community risk.",open,https://www.bls.gov/lau/,https://www.bls.gov/lau/,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,,2026-05-17
cdc-atsdr-svi,CDC/ATSDR Social Vulnerability Index,SVI,sdoh,"A social vulnerability index that helps emergency response, public health, and healthcare teams identify communities likely to need more support.",open,https://www.atsdr.cdc.gov/place-health/php/svi/,https://www.atsdr.cdc.gov/place-health/php/svi/,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,FIPS;GEOID;SVI themes,2026-05-17
county-health-rankings,County Health Rankings & Roadmaps,CHR&R,sdoh,"County health outcomes and factor rankings that help community health, policy, and strategy teams compare places and prioritize interventions.",open,https://www.countyhealthrankings.org/health-data,https://www.countyhealthrankings.org/health-data,county/state measure and rank records,county-year measure,none-aggregate-geography,none,geospatial-context-enrichment,reference,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,,2026-05-17
dartmouth-atlas,Dartmouth Atlas of Health Care,Dartmouth Atlas,sdoh,"Regional healthcare variation measures that help teams study differences in practice patterns, resource use, spending, and care intensity across markets.",open,https://data.dartmouthatlas.org/,https://data.dartmouthatlas.org/,"Hospital Referral Region, Hospital Service Area, provider, or geographic measure depending extract",geographic market or provider measure,none-aggregate-geography,none,geospatial-and-provider-context-enrichment,reference,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,,2026-05-17
epa-aqs,EPA Air Quality System,EPA AQS,sdoh,"Air quality monitor data that helps teams connect pollution and environmental exposure patterns to respiratory, cardiovascular, and community health risk.",open,https://www.epa.gov/aqs,https://www.epa.gov/aqs,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,AQS site;pollutant;date/time,2026-05-17
epa-ejscreen,EPA EJScreen,EJScreen,sdoh,"Environmental justice screening data that helps organizations identify communities facing combined environmental, demographic, and socioeconomic burdens.",open,https://www.epa.gov/ejscreen,https://www.epa.gov/ejscreen,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,GEOID;environmental indicators,2026-05-17
epa-walkability-index,EPA National Walkability Index / Smart Location Mapping,Walkability Index,sdoh,"Built-environment walkability scores that help planners and health teams study transportation access, activity-friendly communities, and neighborhood context.",open,https://www.epa.gov/smartgrowth/smart-location-mapping,https://www.epa.gov/smartgrowth/smart-location-mapping,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,,2026-05-17
hrsa-ahrf,Area Health Resources File,AHRF,sdoh,"County-level health workforce, facility, population, and resource data that helps planners assess provider supply, access gaps, and community capacity.",open,https://data.hrsa.gov/data/download,https://data.hrsa.gov/data/download,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,FIPS;county variables,2026-05-17
hud-hmis-pit,HUD HMIS / Point-in-Time Homelessness Counts,HUD PIT/HMIS,sdoh,"Homelessness counts and housing inventory summaries that help community health, policy, and social care teams understand housing instability and service needs.",mixed,https://www.huduser.gov/portal/datasets/ahar.html,https://www.huduser.gov/portal/datasets/ahar.html,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,,2026-05-17
ruca-codes,USDA Rural-Urban Commuting Area Codes,RUCA,sdoh,"Rural-urban commuting classifications that help teams segment markets, access patterns, provider supply, and outcomes by rurality and commuting context.",open,https://www.ers.usda.gov/data-products/rural-urban-commuting-area-codes/,https://www.ers.usda.gov/data-products/rural-urban-commuting-area-codes/,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,tract;RUCA;ZIP approximation,2026-05-17
usda-food-access-environment,USDA Food Access Research Atlas / Food Environment Atlas,USDA Food Atlas,sdoh,"Food access and food environment measures that help teams study nutrition access, food deserts, retail context, and community health risks.",open,https://www.ers.usda.gov/data-products/food-access-research-atlas/,https://www.ers.usda.gov/data-products/food-access-research-atlas/,"county, tract, block-group, ZIP, ZCTA, or geography-time indicator",geographic context measure,none-aggregate-geography,none,geospatial-context-enrichment,seed,sdoh-risk-stratification;health-equity-analysis;readmission-prediction,FIPS;tract/county,2026-05-17
atc-ddd,ATC/DDD Index,ATC/DDD,terminologies,"A global drug classification and dose-reference source that helps pharmacy, population health, and market access teams compare medication use across products, classes, regions, and time periods.",open,https://atcddd.fhi.no/,https://atcddd.fhi.no/,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,ATC;DDD,2026-05-17
cpt-hcpcs-level-ii,CPT / HCPCS Level II,CPT/HCPCS,terminologies,"The main U.S. procedure and service billing code sets, useful for understanding what care was delivered, pricing services, measuring utilization, and grouping outpatient or professional claims.",purchase,https://www.cms.gov/medicare/coding/healthcare-common-procedure-system,https://www.cms.gov/medicare/coding/healthcare-common-procedure-system,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,CPT;HCPCS Level II,2026-05-17
fda-ndc-directory,FDA National Drug Code Directory,NDC Directory,terminologies,"A public directory of U.S. drug product and package identifiers that helps teams normalize pharmacy claims, connect products to labels, and track medication portfolios.",open,https://www.fda.gov/drugs/drug-approvals-and-databases/national-drug-code-directory,https://www.fda.gov/drugs/drug-approvals-and-databases/national-drug-code-directory,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,NDC,2026-05-17
icd-10-cm-pcs,ICD-10-CM / ICD-10-PCS,ICD-10-CM/PCS,terminologies,"The current U.S. diagnosis and inpatient procedure coding system, used to group diseases, procedures, utilization, quality measures, risk scores, and reimbursement analytics.",open,https://www.cms.gov/medicare/coding-billing/icd-10-codes,https://www.cms.gov/medicare/coding-billing/icd-10-codes,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,ICD-10-CM;ICD-10-PCS,2026-05-17
icd-11,ICD-11,ICD-11,terminologies,"The WHO disease classification for global health reporting, useful for international comparisons, public health measurement, and planning analytics that need a modern worldwide disease framework.",open,https://icd.who.int/browse11,https://icd.who.int/browse11,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,ICD-11,2026-05-17
icd-9-cm-gems,ICD-9-CM and General Equivalence Mappings,ICD-9-CM/GEMs,terminologies,"Legacy diagnosis and procedure codes plus crosswalks that help teams interpret older claims, compare historical trends, and bridge pre-2015 data to newer coding systems.",open,https://www.cms.gov/medicare/coding-billing/icd-10-codes/general-equivalence-mappings,https://www.cms.gov/medicare/coding-billing/icd-10-codes/general-equivalence-mappings,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,ICD-9-CM;GEMs,2026-05-17
icd-o-3,ICD-O-3 Oncology Coding Resources,ICD-O-3,terminologies,"A cancer-specific coding standard for tumor site and histology that supports oncology registries, cancer outcomes research, tumor cohorting, and specialty analytics.",open,https://seer.cancer.gov/icd-o-3/,https://seer.cancer.gov/icd-o-3/,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,ICD-O-3,2026-05-17
loinc,LOINC,LOINC,terminologies,"A standard naming system for lab tests and clinical observations, useful for combining lab results across hospitals, vendors, and data feeds into comparable measures.",registration,https://loinc.org/downloads/,https://loinc.org/downloads/,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,LOINC,2026-05-17
meddra,MedDRA,MedDRA,terminologies,"A global adverse-event terminology used in drug and device safety, helping safety, regulatory, and pharmacovigilance teams group symptoms and events consistently.",purchase,https://www.meddra.org/,https://www.meddra.org/,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,MedDRA,2026-05-17
mesh,Medical Subject Headings,MeSH,terminologies,"A biomedical topic vocabulary used for literature indexing, useful for evidence search, medical knowledge graphs, research discovery, and retrieval-augmented analytics.",open,https://www.nlm.nih.gov/mesh/download_mesh.html,https://www.nlm.nih.gov/mesh/download_mesh.html,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,MeSH,2026-05-17
ms-drg-apr-drg,MS-DRG / APR-DRG,DRG groupers,terminologies,"Hospital episode grouping systems that summarize inpatient stays by clinical complexity and payment category, useful for reimbursement, case-mix, service-line, and capacity analysis.",mixed,https://www.cms.gov/medicare/payment/prospective-payment-systems/acute-inpatient-pps/ms-drg-classifications-and-software,https://www.cms.gov/medicare/payment/prospective-payment-systems/acute-inpatient-pps/ms-drg-classifications-and-software,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,MS-DRG;APR-DRG,2026-05-17
nci-thesaurus,NCI Thesaurus,NCIt,terminologies,"A cancer and biomedical ontology that helps oncology, genomics, and clinical research teams standardize diseases, drugs, anatomy, biomarkers, and trial concepts.",open,https://evs.nci.nih.gov/ftp1/NCI_Thesaurus/,https://evs.nci.nih.gov/ftp1/NCI_Thesaurus/,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,NCIt,2026-05-17
omop-cdm-athena,OMOP CDM / Athena Vocabulary Server,OMOP/Athena,terminologies,"A common data model and vocabulary hub that helps organizations standardize claims, EHR, registry, and public data so analytics can be reused across sources.",registration,https://athena.ohdsi.org/,https://athena.ohdsi.org/,OMOP CDM tables and standardized vocabulary tables,person-centric standardized observational record and vocabulary concept,depends-on-source-data,depends-on-source-data,canonical-target,reference,semantic-normalization;feature-engineering;crosswalks,OMOP CDM;OHDSI standardized vocabularies,2026-05-17
rxnorm,RxNorm,RxNorm,terminologies,"A normalized U.S. medication vocabulary that helps pharmacy, clinical, and claims teams reconcile drug names, ingredients, strengths, and dispense records.",open,https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,https://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,RxNorm,2026-05-17
snomed-ct,SNOMED CT,SNOMED CT,terminologies,"A broad clinical terminology for diagnoses, findings, procedures, and body structures, useful for harmonizing EHR data and building clinically meaningful cohorts.",registration,https://www.nlm.nih.gov/healthit/snomedct/,https://www.nlm.nih.gov/healthit/snomedct/,"concept-code, terminology relationship, or ontology release table",coded biomedical concept,none,none,source-or-standard-vocabulary,seed,semantic-normalization;feature-engineering;crosswalks,SNOMED CT,2026-05-17
umls-metathesaurus,UMLS Metathesaurus,UMLS,terminologies,"A large biomedical terminology crosswalk that helps data and AI teams connect different medical vocabularies, synonyms, abbreviations, and text-mining outputs.",registration,https://www.nlm.nih.gov/research/umls/,https://www.nlm.nih.gov/research/umls/,"CUI, atom, string, semantic type, and relationship tables in Rich Release Format",biomedical concept and synonym/relationship atom,none,none,terminology-reconciliation,reference,semantic-normalization;feature-engineering;crosswalks,UMLS;CUI;semantic types,2026-05-17
